0,"[[0, 7074000, 40, 0, 0, -161.155, 0, 0, 0, 0, 0, 0]]"
1,"[[0, 7074000, 40, 342.3158166314951, 263.56775141524736, -161.155, -39.887277609716634, -798.1874190879174, 288000.0, 0, 96159.62374022449, 0]]"
2,"[[0, 7074000, 40, 342.31767424936567, 262.77643297833043, -161.155, -39.808632468084134, -799.2083649439724, 288000.0, 0, 92754.62951478758, 0]]"
3,"[[0, 7074000, 40, 342.31961335850013, 261.95029077951256, -161.155, -39.71696687008335, -800.2716212708258, 288000.0, 0, 90857.82419603113, 0]]"
4,"[[0, 7074000, 40, 342.3216339262252, 261.089329506654, -161.155, -39.6111070651578, -801.3765436414358, 288000.0, 0, 83964.19217232984, 0]]"
5,"[[0, 7074000, 40, 342.3236540927333, 260.228425662858, -161.155, -39.494781118942726, -802.4778743779738, 288000.0, 0, 83315.1505133794, 0]]"
6,"[[0, 7074000, 40, 342.32559204188544, 259.4024495003692, -161.155, -39.373401823826775, -803.5309365777305, 288000.0, 0, 75451.72419823792, 0]]"
7,"[[0, 7074000, 40, 342.3274478064605, 258.61139633354986, -161.155, -39.24825111495786, -804.5359397826902, 288000.0, 0, 76104.34489238664, 0]]"
8,"[[0, 7074000, 40, 342.3292214192314, 257.85526147613564, -161.155, -39.120545998397255, -805.493143118569, 288000.0, 0, 70480.71097005413, 0]]"
9,"[[0, 7074000, 40, 342.33091291297177, 257.13404023641976, -161.155, -38.99143859276526, -806.4028458811687, 288000.0, 0, 64496.40981244356, 0]]"
10,"[[0, 7074000, 40, 342.3325223204496, 256.44772792988505, -161.155, -38.86201651705802, -807.2653787960393, 288000.0, 0, 61746.81755371325, 0]]"
11,"[[0, 7074000, 40, 342.3340496744075, 255.79631986855878, -161.155, -38.73330355803248, -808.0810960189947, 288000.0, 0, 60375.55549191476, 0]]"
12,"[[0, 7074000, 40, 342.33549500759466, 255.17981136699885, -161.155, -38.60626056906253, -808.8503678254025, 288000.0, 0, 58880.48959044525, 0]]"
13,"[[0, 7074000, 40, 342.3368583527512, 254.59819773468075, -161.155, -38.48178654467185, -809.5735740111309, 288000.0, 0, 56371.43994412761, 0]]"
14,"[[0, 7074000, 40, 342.3381397426036, 254.05147428867346, -161.155, -38.360719832268266, -810.251097936772, 288000.0, 0, 52612.30071271372, 0]]"
15,"[[0, 7074000, 40, 329.0570420761627, 99.38474854525818, -161.155, 39.54834017872025, -1513.3637197040985, 504000.0, 0, 999999, 0]]"
16,"[[0, 7074000, 40, 329.0588996940332, 98.5934301083413, -161.155, 39.65133604270352, -1514.3773891322026, 504000.0, 0, 999999, 0]]"
17,"[[0, 7074000, 40, 329.0608388031677, 97.76728790952339, -161.155, 39.7493984865603, -1515.4387330203213, 504000.0, 0, 999999, 0]]"
18,"[[0, 7074000, 40, 329.06285937089274, 96.90632663666482, -161.155, 39.84124003650593, -1516.5478458561722, 504000.0, 0, 999999, 0]]"
19,"[[0, 7074000, 40, 329.0648795374008, 96.04542279286886, -161.155, 39.9224479218464, -1517.6596660938799, 504000.0, 0, 999999, 0]]"
20,"[[0, 7074000, 40, 329.066817486553, 95.21944663038, -161.155, 39.990320758820204, -1518.7286874604133, 504000.0, 0, 999999, 0]]"
21,"[[0, 7074000, 40, 329.0686732511281, 94.42839346356071, -161.155, 40.046066098704166, -1519.7543509856293, 504000.0, 0, 999999, 0]]"
22,"[[0, 7074000, 40, 329.0704468638989, 93.6722586061465, -161.155, 40.090853555349504, -1520.7361764509367, 504000.0, 0, 999999, 0]]"
23,"[[0, 7074000, 40, 329.0721383576393, 92.95103736643061, -161.155, 40.12581170639509, -1521.6737569529753, 504000.0, 0, 999999, 0]]"
24,"[[0, 7074000, 40, 329.07374776511716, 92.2647250598959, -161.155, 40.15202540495506, -1522.5667531423373, 504000.0, 0, 999999, 0]]"
25,"[[0, 7074000, 40, 329.07527511907506, 91.61331699856963, -161.155, 40.170533481727176, -1523.4148873118709, 504000.0, 0, 999999, 0]]"
26,"[[0, 7074000, 40, 329.0767204522622, 90.9968084970097, -161.155, 40.18232680927535, -1524.217937391201, 504000.0, 0, 999999, 0]]"
27,"[[0, 7074000, 40, 329.07808379741874, 90.4151948646916, -161.155, 40.188346700958185, -1524.9757309820927, 504000.0, 0, 999999, 0]]"
28,"[[0, 7074000, 40, 329.0793651872711, 89.8684714186843, -161.155, 40.1894836131466, -1525.688139471984, 504000.0, 0, 999999, 0]]"
29,"[[0, 7074000, 40, 315.7920481418488, 297.8506166099048, -161.155, -34.814214000356294, -2586.672897459312, 720000.0, 0, 64736.94020877377, 0]]"
30,"[[0, 7074000, 40, 315.7923018031882, 297.74266056347983, -161.155, -34.85364553578051, -2586.7948574509114, 720000.0, 0, 68820.00840785295, 0]]"
31,"[[0, 7074000, 40, 315.79263739109723, 297.59981845183586, -161.155, -34.90563075255065, -2586.9564071531972, 720000.0, 0, 68041.89389294012, 0]]"
